miRNA	gene	support type	label	split	hist	num_miRNA_disease	num_gene_disease
hsa-miR-518a	MCL1	TarBase;miRTarBase;miRWalk	1	train	[0.34317948717948715, 0.5963076923076923, 0.04964102564102564, 0.008, 0.002871794871794872]	13	375
hsa-miR-497	E2F3	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.3111282248748556, 0.622352714670774, 0.05429341547939931, 0.009722757027339237, 0.0025028879476318828]	106	98
hsa-miR-29a	PDGFC	TargetScan;miRTarBase;miRWalk	1	train	[0.3258911084998041, 0.6200548374461418, 0.049614832223527874, 0.0031988510249379813, 0.0012403708055881968]	222	69
hsa-miR-675	GATA2	miRTarBase;miRWalk	1	train	[0.37513963643749365, 0.5761145526556312, 0.04498832131613689, 0.002843505636234386, 0.0009139839545039098]	43	229
hsa-miR-370	CTNNB1	miRTarBase	1	train	[0.36240862573099414, 0.5965734649122807, 0.03753654970760234, 0.00268640350877193, 0.0007949561403508772]	80	1368
hsa-miR-566	GABPB1-AS1	miRTarBase	1	train	[0.5555555555555556, 0.3888888888888889, 0.0, 0.05555555555555555, 0.0]	6	3
hsa-miR-210	PIM1	miRTarBase;miRWalk	1	train	[0.4095123626373626, 0.5492052590266876, 0.03610675039246468, 0.004194466248037676, 0.0009811616954474097]	182	224
hsa-miR-424	AKT3	TargetScan;miRTarBase;miRWalk	1	train	[0.33343359903744924, 0.6218980297789142, 0.03835163182433449, 0.00476262094550559, 0.001554118413796561]	109	183
hsa-miR-222	DKK2	TargetScan;miRTarBase;miRWalk	1	train	[0.31537875904073087, 0.6372287780738485, 0.04149219642177389, 0.00475827940616673, 0.0011419870574800152]	142	74
hsa-miR-200a	CCNE2	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.29299697805807384, 0.6338194718171068, 0.06254105899356195, 0.00840888188148732, 0.0022336092497700698]	129	59
hsa-miR-151a	IL1RAPL1	TarBase;TargetScan;miRTarBase	1	train	[0.4472792955520434, 0.5351095055317228, 0.0167080605102732, 0.0006773538044705351, 0.00022578460149017836]	43	103
hsa-miR-376b	HMGA2	miRTarBase;miRWalk	1	train	[0.4219645973572675, 0.5274245823984044, 0.04338070306656694, 0.006108202443280977, 0.0011219147344801795]	21	382
hsa-miR-211	LIFR	TarBase;miRWalk	1	train	[0.38047138047138046, 0.5778236914600551, 0.03726660544842363, 0.0035965717783899604, 0.0008417508417508417]	66	198
hsa-let-7f	COPS8	miRTarBase	1	train	[0.18122555410691005, 0.7170795306388527, 0.08996088657105607, 0.010430247718383311, 0.001303780964797914]	59	13
hsa-miR-382	SAE1	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3013888888888889, 0.6625, 0.03333333333333333, 0.001388888888888889, 0.001388888888888889]	48	15
hsa-miR-767	LOX	miRTarBase	1	train	[0.3359756097560976, 0.5957317073170731, 0.05884146341463414, 0.00701219512195122, 0.0024390243902439024]	10	328
hsa-let-7i	ASCL1	miRTarBase	1	train	[0.3969421101774043, 0.5534547152194211, 0.04318394024276377, 0.0056022408963585435, 0.0008169934640522876]	63	136
hsa-miR-125b	FOXA1	miRTarBase	1	train	[0.30008739348918506, 0.6444177408783046, 0.048139246959434855, 0.00600830238147258, 0.0013473162916029422]	199	138
hsa-miR-19a	DNMT1	miRTarBase	1	train	[0.3812741935483871, 0.5726612903225806, 0.04117741935483871, 0.0037419354838709677, 0.0011451612903225807]	125	496
hsa-miR-205	KCNJ10	TarBase;miRTarBase	1	train	[0.4352087114337568, 0.5399637023593467, 0.02323049001814882, 0.0014519056261343012, 0.00014519056261343014]	145	95
hsa-miR-125b	TET2	TargetScan;miRTarBase;miRWalk	1	train	[0.35864404897415253, 0.5973930425608707, 0.04027041283766901, 0.0027763125017351955, 0.0009161831255726145]	199	362
hsa-miR-639	CDKN1A	TarBase;miRTarBase	1	train	[0.2693877551020408, 0.6047619047619047, 0.11700680272108843, 0.007482993197278911, 0.0013605442176870747]	3	490
hsa-miR-181a	CDKN1B	miRTarBase;miRWalk	1	train	[0.3571048048355701, 0.5983813133900215, 0.03931974182973056, 0.00422087900829833, 0.0009732609363794693]	215	454
hsa-miR-100	ZBTB7A	TargetScan;miRTarBase;miRWalk	1	train	[0.30673543689320387, 0.6288430420711975, 0.056735436893203886, 0.006067961165048544, 0.0016181229773462784]	96	103
hsa-miR-424	CDC25A	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.309654871122761, 0.619746614242027, 0.0600262123197903, 0.008650065530799476, 0.0019222367846221057]	109	105
hsa-miR-497	LINC00473	miRTarBase	1	train	[0.2771633051398829, 0.6376057254391672, 0.0712426805465192, 0.011060507482108002, 0.0029277813923227064]	106	29
hsa-miR-296	CDH1	miRTarBase;miRWalk	1	train	[0.37225445503522586, 0.5744923331951927, 0.04679513744992402, 0.005076668048072938, 0.001381406271584473]	57	508
hsa-miR-130a	TPT1	TarBase;miRWalk	1	train	[0.3541582384557591, 0.5948101485291568, 0.04513668150031786, 0.004450095359186269, 0.0014448361555799572]	121	143
hsa-miR-501	LAMTOR5	miRTarBase	1	train	[0.3328173374613003, 0.6052631578947368, 0.05108359133126935, 0.007739938080495356, 0.0030959752321981426]	34	38
hsa-miR-297	MAP3K7	TarBase	1	train	[0.24981684981684982, 0.6952380952380952, 0.054212454212454214, 0.0007326007326007326, 0.0]	5	273
